n_clusters,covariance_type,n_init,max_iter,model_type,model,silhouette,calinski_harabasz,davies_bouldin,composite_score
3,full,10,200,gmm,GMM_n_clusters3_covariance_typefull_n_init10_max_iter200,0.25443281946424484,1269.2175703642538,1.533831265939493,0.67311576305708
3,tied,10,200,gmm,GMM_n_clusters3_covariance_typetied_n_init10_max_iter200,0.25443281946424484,1269.2175703642538,1.533831265939493,0.67311576305708
3,diag,10,200,gmm,GMM_n_clusters3_covariance_typediag_n_init10_max_iter200,0.25443281946424484,1269.2175703642538,1.533831265939493,0.67311576305708
3,spherical,10,200,gmm,GMM_n_clusters3_covariance_typespherical_n_init10_max_iter200,0.25393977948893076,1261.6471858618354,1.541184109054966,0.668923727933322
4,tied,10,200,gmm,GMM_n_clusters4_covariance_typetied_n_init10_max_iter200,0.2651883761328955,986.3150015518291,1.2771337755711039,0.587465688609792
4,spherical,10,200,gmm,GMM_n_clusters4_covariance_typespherical_n_init10_max_iter200,0.20421277640013188,966.2947450824855,1.7421332727383168,0.5027698385275523
6,tied,10,200,gmm,GMM_n_clusters6_covariance_typetied_n_init10_max_iter200,0.23763020525278108,774.371238236723,1.6619757988449264,0.4446196807538835
5,tied,10,200,gmm,GMM_n_clusters5_covariance_typetied_n_init10_max_iter200,0.2269171464588946,851.8213574163502,1.9200438802961641,0.4439957995853091
6,spherical,10,200,gmm,GMM_n_clusters6_covariance_typespherical_n_init10_max_iter200,0.1906396905925072,812.2757917772058,1.8498222358960605,0.42074440358014775
5,spherical,10,200,gmm,GMM_n_clusters5_covariance_typespherical_n_init10_max_iter200,0.17401489245297014,851.259372654741,2.0168265340960336,0.4117945942764742
4,diag,10,200,gmm,GMM_n_clusters4_covariance_typediag_n_init10_max_iter200,0.21204964517154223,876.1477324676156,2.4594404083823638,0.3880303616774188
7,spherical,10,200,gmm,GMM_n_clusters7_covariance_typespherical_n_init10_max_iter200,0.17385296222898505,652.4849849894255,2.0650769207220105,0.3230051123331619
4,full,10,200,gmm,GMM_n_clusters4_covariance_typefull_n_init10_max_iter200,0.18518118707374276,863.9777794692869,3.140571680014351,0.29614002213901247
7,tied,10,200,gmm,GMM_n_clusters7_covariance_typetied_n_init10_max_iter200,0.1428565911878725,657.9773118518601,2.730953278627742,0.23857172893324607
6,diag,10,200,gmm,GMM_n_clusters6_covariance_typediag_n_init10_max_iter200,0.16147205812828463,648.9390221356314,3.187386448940456,0.19127293549706764
5,diag,10,200,gmm,GMM_n_clusters5_covariance_typediag_n_init10_max_iter200,0.14388328235201145,671.5342365803212,3.435401698436972,0.1660225983089567
7,diag,10,200,gmm,GMM_n_clusters7_covariance_typediag_n_init10_max_iter200,0.12064949091035906,564.1297686812957,3.1288935015044186,0.14591687621007113
7,full,10,200,gmm,GMM_n_clusters7_covariance_typefull_n_init10_max_iter200,0.13889963377254638,557.6196094511469,3.266649234238735,0.13510861970631843
5,full,10,200,gmm,GMM_n_clusters5_covariance_typefull_n_init10_max_iter200,0.11610136423203234,668.0427575184,3.87303590811848,0.1045890961662
6,full,10,200,gmm,GMM_n_clusters6_covariance_typefull_n_init10_max_iter200,0.08165939083050942,553.6707141915568,3.9643748334906164,0.032663756332203774
